appid;name;Precios
2373540;Year 500;
2373550;Cosmantic Cluster;
2373560;Panic Lane;
2373580;NightMetal;
2373690;Aerion: The Last Alchemist;
2373720;Mix the Forgotten;
2373780;JAVIER;
2373800;Conclave Virtual Tabletop;
2373810;Luckie Ball;
2373910;Fusionist;
2373160;D-100;
2373200;Unhinged 2;
2373300;Outway;
2373340;Monster Line of Defense;
2373360;Witchcraft Candy Hunt;
2372870;The Black Within;
2372970;AI Unbound;
2372980;Space Shark Wrangle Fest;
2373060;Game Dev Fantasy;
2372330;血之诗: 月之蚀;
2372430;Lasting Moonlight;
2372440;Aphelion Headhunters;
2372450;Rootin' Tootin' Lootin' & Shootin';
2372510;Ａクラス;
2372560;Back To The Dark;
2372620;o7;
2372760;Eternal Roadster;
2371880;AlterSpace;
2371890;Chronicles of the Wolf;
2371900;Pirate Plight;
2372040;Medieval Darkness;
2372060;Saucers;
2372070;Bone Boy;
2372120;Arkem;
2372140;Fruit Jammin';
2372150;Escape from Norwood;
2372170;NIDUS;
